EU343832.1	k__Eukaryota;p__Ascomycota;c__Candida glaebosa clade;o__Saccharomycetales;f__Debaryomycetaceae;g__unidentified;s__[Candida]_glaebosa
FJ172252.1	k__Eukaryota;p__Ascomycota;c__CUG-Ser1 clade;o__Saccharomycetales;f__Debaryomycetaceae;g__Yamadazyma;s__[Candida]_gorgasii
EU284101.1	k__Eukaryota;p__Ascomycota;c__CUG-Ser1 clade;o__Saccharomycetales;f__Metschnikowiaceae;g__Candida/Metschnikowiaceae;s__[Candida]_heveicola
KY102133.1	k__Eukaryota;p__Ascomycota;c__Candida/Saccharomycales clade;o__Saccharomycetales;f__unidentified;g__unidentified;s__[Candida]_hispaniensis
EU343837.1	k__Eukaryota;p__Ascomycota;c__Candida/Saccharomycales clade;o__Saccharomycetales;f__unidentified;g__unidentified;s__[Candida]_incommunis
EU343838.1	k__Eukaryota;p__Ascomycota;c__CUG-Ser1 clade;o__Saccharomycetales;f__Debaryomycetaceae;g__Yamadazyma;s__[Candida]_insectorum
KY105344.1	k__Eukaryota;p__Ascomycota;c__saccharomyceta;o__Saccharomycetales;f__unidentified;g__unidentified;s__[Candida]_lignicola_(nom._inval.)
HM461661.1	k__Eukaryota;p__Ascomycota;c__saccharomyceta;o__Saccharomycetales;f__Phaffomycetaceae;g__Cyberlindnera;s__[Candida]_maesae_(nom_inval.)
KY102191.1	k__Eukaryota;p__Ascomycota;c__Ogataea/Candida clade;o__Saccharomycetales;f__Pichiaceae;g__Ogataea;s__[Candida]_maris
EU343843.1	k__Eukaryota;p__Ascomycota;c__CUG-Ser1 clade;o__Saccharomycetales;f__Debaryomycetaceae;g__Yamadazyma;s__[Candida]_membranifaciens
KY102211.1	k__Eukaryota;p__Ascomycota;c__Ogataea/Candida clade;o__Saccharomycetales;f__Pichiaceae;g__Ogataea;s__[Candida]_methanosorbosa
KY102213.1	k__Eukaryota;p__Ascomycota;c__CUG-Ser1 clade;o__Saccharomycetales;f__Metschnikowiaceae;g__Candida/Metschnikowiaceae;s__[Candida]_middelhoveniana
KT831885.1	k__Eukaryota;p__Ascomycota;c__CUG-Ser1 clade;o__Saccharomycetales;f__Metschnikowiaceae;g__Candida/Metschnikowiaceae;s__[Candida]_mogii
KY102225.1	k__Eukaryota;p__Ascomycota;c__Ogataea/Candida clade;o__Saccharomycetales;f__Pichiaceae;g__Ogataea;s__[Candida]_nanaspora
KY102228.1	k__Eukaryota;p__Ascomycota;c__Ogataea/Candida clade;o__Saccharomycetales;f__Pichiaceae;g__Ogataea;s__[Candida]_nemodendra
KF057528.1	k__Eukaryota;p__Ascomycota;c__Barnettozyma/Candida clade;o__Saccharomycetales;f__Phaffomycetaceae;g__Barnettozyma;s__[Candida]_norvegica
KY102257.1	k__Eukaryota;p__Ascomycota;c__Phaffomyces/Candida clade;o__Saccharomycetales;f__Phaffomycetaceae;g__Phaffomyces;s__[Candida]_orba
KY102259.1	k__Eukaryota;p__Ascomycota;c__CUG-Ser1 clade;o__Saccharomycetales;f__Metschnikowiaceae;g__Candida/Metschnikowiaceae;s__[Candida]_oregonensis
