otu	Kingdom	Phylum	Class	Order	Family	Genus	Species
819104bf6d0d823d9950c7659efc9779e667b8af	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
81dc943ea1e6dcbb38878b80c268dd85618ef94f	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
81f260235cd12ebf2e3d39923c941a122c28d186	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
822d011288ca4f63ed47713b8e2622a60bee2e76	Eukaryota	Basidiomycota	Opisthokonta	Tilletiales	Tilletiaceae	Tilletia	Tilletia_nigrifaciens
824057408e6ac1b74d2e7f85da31deee0704b56f	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
827848764a1b1266c5ea1b72c835d6bd42f8a47a	Eukaryota	Ascomycota	sordariomyceta	Helotiales	unidentified	Patellariopsis	Patellariopsis_atrovinosa
8282e953530d588d1be66555e54889b78fcaea11	Eukaryota	Ascomycota	sordariomyceta	Helotiales	unidentified	Patellariopsis	Patellariopsis_atrovinosa
82a105d38f241e768ed455837f330cb25915480e	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
82db6efe8ffbfe75818f6c44dfeff123073766dd	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
82ef7214302997c5b7523533c8ce3b7588acb4ef	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
82efb5692dcf53d50899aaaa6259696be9d74d8a	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
832e8356bfc005368d3943f2910045ec2e8032c2	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
833e1c2fdc020321090b982e6361242233daec2a	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
