#OTU ID,Domain,Phylum,Class,Order,Family,Genus,Species
KY979755.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Didymellaceae;g__Pseudopeyronellaea;s__Pseudopeyronellaea_eucalypti
MG386056.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Didymellaceae;g__Nothophoma;s__Nothophoma_acaciae
MW633475.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_herbarum
Z99672.1,k__Eukaryota;p__Ascomycota;c__sordariomyceta;o__Helotiales;f__Sclerotiniaceae;g__Sclerotinia;s__Sclerotinia_tetraspora
GU237890.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Didymellaceae;g__Stagonosporopsis;s__Stagonosporopsis_loticola
AY198298.3,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_calotheca
MN244198.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Didymellaceae;g__Xenodidymella;s__Xenodidymella_camporesii
HQ643956.2,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_viniferum
HQ643773.2,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Elongisporangium;s__Elongisporangium_senticosum
HQ643408.2,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_abappressorium
MT730631.1,k__Eukaryota;p__Chytridiomycota;c__Opisthokonta;o__Spizellomycetales;f__Spizellomycetaceae;g__Gaertneriomyces;s__Gaertneriomyces_spectabilis
GQ244428.2,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_emineosum
KJ707164.1,k__Eukaryota;p__Basidiomycota;c__Opisthokonta;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Sporobolomyces_roseus
KT600411.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_aciculare
MG865593.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_thermophila
EU882732.1,k__Eukaryota;p__Ascomycota;c__sordariomyceta;o__Helotiales;f__Mollisiaceae;g__Acephala;s__Acephala_macrosclerotiorum
MG865548.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_nemorosa
MG865566.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_pinifolia
HQ643671.2,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_kashmirense
HQ643681.2,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_lucens
EU049205.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;s__Hyaloperonospora_parasitica
MK394004.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_variabilis
AY211016.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_corydalis
AY198300.3,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_aparines
MT730745.1,k__Eukaryota;p__Chytridiomycota;c__Opisthokonta;o__Spizellomycetales;f__Powellomycetaceae;g__Geranomyces;s__Geranomyces_michiganensis
MH862963.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Didymellaceae;g__Heterophoma;s__Heterophoma_adonidis
KJ443356.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Didymellaceae;g__Phoma;s__Phoma_commelinicola
MG865576.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_psychrophila
KY970066.1,k__Eukaryota;p__Ascomycota;c__sordariomyceta;o__Helotiales;f__unidentified;g__Patellariopsis;s__Patellariopsis_atrovinosa
MK876378.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Didymellaceae;g__Calophoma;s__Calophoma_sandfjordenica
GU237837.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Didymellaceae;g__Vacuiphoma;s__Vacuiphoma_bulgarica
HQ643444.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_apleroticum
JQ897481.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Didymellaceae;g__Stagonosporopsis;s__Stagonosporopsis_tanaceti
MW599272.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_myosuri
MG518642.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_acerina
AY364838.1,k__Eukaryota;p__Basidiomycota;c__Opisthokonta;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporobolomyces;s__Sporobolomyces_jilinensis
MH730801.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_argemones
JN906978.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Cladosporiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_aphidis
LT592939.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Didymellaceae;g__Nothophoma;s__Nothophoma_variabilis
MH730805.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_ranunculi
GU237714.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Didymellaceae;g__Stagonosporopsis;s__Stagonosporopsis_andigena
AF347031.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_alternata
MH730799.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_cyparissiae
MH327825.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Didymellaceae;g__Didymella;s__Didymella_cari
GU237731.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Didymellaceae;g__Epicoccum;s__Epicoccum_henningsii
GU237792.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Didymellaceae;g__Stagonosporopsis;s__Stagonosporopsis_astragali
FN428895.1,k__Eukaryota;p__Basidiomycota;c__Opisthokonta;o__Cystobasidiales;f__unidentified;g__Occultifur;s__Occultifur_aff._externus_IMUFRJ_52018
KJ941072.1,k__Eukaryota;p__Ascomycota;c__sordariomyceta;o__Helotiales;f__Sclerotiniaceae;g__Myriosclerotinia;s__Myriosclerotinia_curreyana
OL539743.1,k__Eukaryota;p__Ascomycota;c__sordariomyceta;o__Helotiales;f__unidentified;g__Amylocarpus;s__Amylocarpus_encephaloides
MW138779.1,k__Eukaryota;p__Ascomycota;c__sordariomyceta;o__Helotiales;f__Sclerotiniaceae;g__Sclerotinia;s__Sclerotinia_sclerotiorum
MG865476.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_citrophthora
MH730809.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_meconopsidis
FJ427003.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Didymellaceae;g__Didymella;s__Didymella_gardeniae
HQ643739.2,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_pectinolyticum
MG865511.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_ilicis
KU306729.1,k__Eukaryota;p__Ascomycota;c__sordariomyceta;o__Helotiales;f__Sclerotiniaceae;g__Valdensinia;s__Valdensinia_heterodoxa
MG865509.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_idaei
KF156010.1,k__Eukaryota;p__Ascomycota;c__dothideomyceta;o__Pleosporales;f__Pleosporaceae;g__Paradendryphiella;s__Paradendryphiella_arenariae
MG865575.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_pseudotsugae
HQ643443.2,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_apiculatum
MG865596.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_tropicalis
HQ643396.2,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Phytopythium;s__Phytopythium_sindhum
MG865599.1,k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_x_serendipita
KJ131184.1,k__Eukaryota;p__Ascomycota;c__sordariomyceta;o__Helotiales;f__Sclerotiniaceae;g__Monilinia;s__Monilinia_fructicola
