OTU,Domain,Phylum,Class,Order,Family,Genus,Species
KC237880.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Hygrophoraceae,g__Arrhenia,s__Arrhenia_epichysium
KF917543.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Schizoporaceae,g__Xylodon,s__Xylodon_pseudotropicus
KF699122.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Fomitopsidaceae,g__Fuscopostia,s__Fuscopostia_leucomallella
MH010876.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Pluteaceae,g__Pluteus,s__Pluteus_rugosidiscus
HQ604247.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Inocybaceae,g__Inocybe,s__Inocybe_cincinnata
KY979765.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Mycosphaerellaceae,g__Zasmidium,s__Zasmidium_commune
OM972649.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Boletaceae,g__Xerocomus,s__Xerocomus_tenax
AF444479.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Tremellales,f__Cuniculitremaceae,g__Kockovaella,s__Kockovaella_schimae
KF261379.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Boletales,f__Paxillaceae,g__Paxillus,s__Paxillus_cuprinus
KP276179.1,k__Eukaryota,p__Ascomycota,c__saccharomyceta,o__Pezizales,f__Tuberaceae,g__Tuber,s__Tuber_xuanhuaense
MT347765.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Cystofilobasidiales,f__Mrakiaceae,g__Mrakia,s__Mrakia_montana
JF908439.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Mycenaceae,g__Mycena,s__Mycena_stylobates
LT853079.1,k__Eukaryota,p__Ascomycota,c__sordariomyceta,o__Xylariales,f__Sporocadaceae,g__Seiridium,s__Seiridium_neocupressi
MK907415.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Agaricales,f__Tricholomataceae,g__Omphalina,s__Omphalina_discorosea
OM210015.1,k__Eukaryota,p__Mucoromycota,c__Opisthokonta,o__Glomerales,f__Glomeraceae,g__Microkamienskia,s__Microkamienskia_peruviana
EU035313.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Hymenochaetales,f__Hymenochaetaceae,g__Fulvifomes,s__Fulvifomes_merrillii
MG137067.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Polyporales,f__Postiaceae,g__Cyanosporus,s__Cyanosporus_cyanescens
MN562144.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Mycosphaerellales,f__Neodevriesiaceae,g__Neodevriesia,s__Neodevriesia_strelitziicola
MW724003.1,k__Eukaryota,p__Basidiomycota,c__Opisthokonta,o__Filobasidiales,f__Filobasidiaceae,g__Naganishia,s__Naganishia_albida
MZ733745.1,k__Eukaryota,p__Ascomycota,c__dothideomyceta,o__Pleosporales,f__Pleosporaceae,g__Curvularia,s__Curvularia_lycopersici
