Sample_ID	ID_S	Name	run_name	flowcell	barcode	Site_A	Site	Field	date	Year	Month	Week	DOY	SampleType	S_vesicarium	P_desttructor	B_squamosa	comments
T_04	T_4	guej_2022_20	GUEJ_2022_R2	FAS7593	4	GUEJ	C	L1	2022-07-21	2022	7	30	201	Field	1	13	2	
T_05	T_5	guej_2022_21	GUEJ_2022_R2	FAS7593	5	GUEJ	C	L1	2022-07-24	2022	7	31	204	Field	0	1	0	
T_06	T_6	guej_2022_22	GUEJ_2022_R2	FAS7593	6	GUEJ	C	L1	2022-07-26	2022	7	31	206	Field	9	87	1	
T_07	T_7	guej_2022_23	GUEJ_2022_R2	FAS7593	7	GUEJ	C	L1	2022-07-28	2022	7	31	208	Field	.	.	.	
T_08	T_8	guej_2022_24	GUEJ_2022_R2	FAS7593	8	GUEJ	C	L1	2022-07-31	2022	7	32	211	Field	35	618	5	
T_09	T_9	guej_2022_25	GUEJ_2022_R2	FAS7593	9	GUEJ	C	L1	2022-08-04	2022	8	32	215	Field	56	8	19	
T_10	T_10	guej_2022_26	GUEJ_2022_R2	FAS7593	10	GUEJ	C	L1	2022-08-07	2022	8	33	218	Field	10	2	16	
T_11	T_11	guej_2022_27	GUEJ_2022_R2	FAS7593	11	GUEJ	C	L1	2022-08-09	2022	8	33	220	Field	81	0	590	
T_12	T_12	guej_2022_28	GUEJ_2022_R2	FAS7593	12	GUEJ	C	L1	2022-08-11	2022	8	33	222	Field	6	0	46	
T_13	T_13	guej_2022_29	GUEJ_2022_R2	FAS7593	13	GUEJ	C	L1	2022-08-02	2022	8	32	213	Field	3256	34	152	
T_14	T_14	guej_2022_30	GUEJ_2022_R2	FAS7593	14	GUEJ	C	L1	2022-08-14	2022	8	34	225	Field	625	85	4	
T_15	T_15	guej_2022_31	GUEJ_2022_R2	FAS7593	15	GUEJ	C	L1	2022-08-16	2022	8	34	227	Field	111	1	7	
T_16	T_16	guej_2022_32	GUEJ_2022_R2	FAS7593	16	GUEJ	C	L1	2022-08-18	2022	8	34	229	Field	189	2	18	
S_01	S_1	vern_2022_1	VERN_2022_R1	FAT25084	1	VERN	D	SH-02	2022-06-05	2022	6	24	155	Field	0	0	0	
S_02	S_2	vern_2022_2	VERN_2022_R1	FAT25084	2	VERN	D	SH-02	2022-06-07	2022	6	24	157	Field	0	0	3	
S_03	S_3	vern_2022_3	VERN_2022_R1	FAT25084	3	VERN	D	SH-02	2022-06-09	2022	6	24	159	Field	0	0	0	
S_04	S_4	vern_2022_4	VERN_2022_R1	FAT25084	4	VERN	D	SH-02	2022-06-12	2022	6	25	162	Field	0	0	0	
